prog3aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.642, 2017-06-09 18:16:52.664, 2017-06-09 18:16:52.728
prog1aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.642, 2017-06-09 18:16:52.665, 2017-06-09 18:16:52.830
prog5aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.642, 2017-06-09 18:16:52.665, 2017-06-09 18:16:52.931
prog2aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.642, 2017-06-09 18:16:52.665, 2017-06-09 18:16:53.036
prog4aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.642, 2017-06-09 18:16:52.666, 2017-06-09 18:16:53.137
prog5aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.665, 2017-06-09 18:16:52.666, 2017-06-09 18:16:53.238
prog3aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.664, 2017-06-09 18:16:52.666, 2017-06-09 18:16:53.344
prog1aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.665, 2017-06-09 18:16:52.666, 2017-06-09 18:16:53.450
prog4aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.665, 2017-06-09 18:16:52.666, 2017-06-09 18:16:53.555
prog5aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.666, 2017-06-09 18:16:52.666, 2017-06-09 18:16:53.658
prog2aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.666, 2017-06-09 18:16:52.667, 2017-06-09 18:16:53.763
prog3aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.666, 2017-06-09 18:16:52.667, 2017-06-09 18:16:53.867
prog4aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.667, 2017-06-09 18:16:52.667, 2017-06-09 18:16:53.973
prog5aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.667, 2017-06-09 18:16:52.668, 2017-06-09 18:16:54.075
prog1aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.667, 2017-06-09 18:16:52.668, 2017-06-09 18:16:54.180
prog2aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.668, 2017-06-09 18:16:52.668, 2017-06-09 18:16:54.286
prog3aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.668, 2017-06-09 18:16:52.669, 2017-06-09 18:16:54.392
prog4aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.668, 2017-06-09 18:16:52.669, 2017-06-09 18:16:54.494
prog2aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.669, 2017-06-09 18:16:52.669, 2017-06-09 18:16:54.599
prog1aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.669, 2017-06-09 18:16:52.670, 2017-06-09 18:16:54.704
prog5aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.669, 2017-06-09 18:16:52.670, 2017-06-09 18:16:54.810
prog3aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.670, 2017-06-09 18:16:52.670, 2017-06-09 18:16:54.915
prog2aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.670, 2017-06-09 18:16:52.670, 2017-06-09 18:16:55.021
prog4aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.670, 2017-06-09 18:16:52.670, 2017-06-09 18:16:55.127
prog1aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.671, 2017-06-09 18:16:52.671, 2017-06-09 18:16:55.228
prog5aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.671, 2017-06-09 18:16:52.671, 2017-06-09 18:16:55.329
prog2aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.671, 2017-06-09 18:16:52.672, 2017-06-09 18:16:55.434
prog3aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.671, 2017-06-09 18:16:52.672, 2017-06-09 18:16:55.535
prog4aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.672, 2017-06-09 18:16:52.672, 2017-06-09 18:16:55.637
prog5aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.672, 2017-06-09 18:16:52.672, 2017-06-09 18:16:55.743
prog1aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.672, 2017-06-09 18:16:52.673, 2017-06-09 18:16:55.848
prog4aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.673, 2017-06-09 18:16:52.673, 2017-06-09 18:16:55.954
prog5aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.673, 2017-06-09 18:16:52.673, 2017-06-09 18:16:56.055
prog2aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.673, 2017-06-09 18:16:52.673, 2017-06-09 18:16:56.157
prog3aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.673, 2017-06-09 18:16:52.673, 2017-06-09 18:16:56.262
prog3aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.674, 2017-06-09 18:16:52.674, 2017-06-09 18:16:56.368
prog1aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.674, 2017-06-09 18:16:52.675, 2017-06-09 18:16:56.474
prog2aaaaaaaaaaaaaaa, 2017-06-09 18:16:52.674, 2017-06-09 18:16:52.675, 2017-06-09 18:16:56.579
